Type,Name,x,y,z
Steam injector,PGKYP117H1,146.3084,-202.991,-2321.827151
Steam injector,PGKYP118H1,-227.6311,61.847,-2300.73074
Steam injector,PGKYP119H2,290.7779,-0.81,-2314.62518
Steam injector,PGKYP120H1,396.5311,519.811,-2312.24678
Steam injector,PGKYP123H1,-689.5582,-15.152,-2306.458
Steam injector,PGKYP129H1,-71.6602,-581.686,-2349.84154
Steam injector,PGKYP18H1,-205.52,-160.58,-2273.03
Steam injector,PGKYP19H1,-205.35,-137.02,-2270.03
Steam injector,PGKYP61H1,56.6628,428.554,-2299.485741
Steam injector,PGKYP62H1,-538.7765,-334.033,-2314.487303
Steam injector,PGKYP63H1,-526.1069,-136.17,-2298.990097
Steam injector,PGKYP64H1,-697.024,312.668,-2299.289828
Steam injector,PGKYP65H1,-1041.5161,112.019,-2303.799781
Steam injector,PGKYP66H1,293.6307,385.878,-2305.619022
Steam injector,PGKYP67H1,219.4909,-61.258,-2299.033082
Steam injector,PGKYP69H1,-233.3094,-749.488,-2299.298592
Steam injector,PGKYP72H1,68.618,-565.139,-2298.184955
Steam injector,PGKYP73H1,-834.4997,194.781,-2313.78683
Steam injector,PGKYP74H1,61.9156,-263.509,-2343.862227
Steam injector,PGKYP76H1,-306.5279,748.708,-2305.34705
Steam injector,PGKYP85H2,148.7548,93.559,-2299.02126
Steam injector,PGKYP87H1,-532.7935,-545.9,-2313.700117
Steam injector,PGKYP88H1,13.9997,-99.323,-2299.202194
Steam injector,PGKYP94H1,-411.3333,27.701,-2301.274062
Steam injector,PGKYP96H1,53.8192,583.171,-2334.627228
Steam injector,PGKYP97H1,64.1994,694.044,-2330.558415
Water injector,PGKYP10H1,-776.1195,9.282,-2304.550305
Producer,PGKYP23H1,-1355.3039,111.824,-2348.394508
Producer,PGKYP24H4,591.4244,-290.357,-2348.893901
Producer,PGKYP27H3,620.5319,747.895,-2352.918767
Producer,PGKYP29H2,-1047.7986,-976.494,-2346.916707
Producer,PGKYP45H1,841.4589,-148.861,-2429.509099
Producer,PGKYP46H2,-1530.1043,-459.114,-2437.670332
Producer,PGKYP47H1,746.6973,585.188,-2429.095818
Producer,PGKYP48H1,523.1266,1297.342,-2428.680015
Producer,PGKYP49H1,350.5651,1128.246,-2429.661224
Producer,PGKYP51H1,-365.3613,1295.424,-2428.91377
Producer,PGKYP52H3,-990.5335,1052.808,-2428.251518
Producer,PGKYP53H1,-1211.843,892.114,-2429.158027
Producer,PGKYP54H2,-1558.0547,-188.414,-2429.165068
Producer,PGKYP55H1,-535.477,-1249.022,-2429.841022
Producer,PGKYP56H1,-260.2245,-1157.339,-2429.240782
Producer,PGKYP57H1,66.6334,-1036.393,-2429.38654
Producer,PGKYP58H1,614.6207,-714.672,-2428.95872
Producer,PGKYP59H1,774.2326,-333.095,-2428.856829
Producer,PGKYP60H1,870.9161,287.573,-2429.048392
Producer,PGKYP6H2,-1161.0302,-834.402,-2431.525664
Producer,PGKYP91H1,-962.8715,325.573,-2528.999923
Producer,PGKYP92H2,436.1826,662.913,-2528.518634
Producer,PGKYP93H1,449.9045,-195.797,-2529.505082
Water injector,PGKYP9H1,-195.2873,642.794,-2304.991777
Producer,PGKYP100H3,-292.8176,-912.991,-2388.857771
Producer,PGKYP101H1,163.24,-484.503,-2388.532355
Producer,PGKYP102H1,613.0964,-141.48,-2389.032665
Producer,PGKYP103H1,705.8336,241.427,-2389.382928
Producer,PGKYP104H1,989.2714,632.124,-2389.36905
Producer,PGKYP105H1,-628.3343,-929.418,-2389.287664
Producer,PGKYP106H1,-1372.0719,-881.54,-2389.570551
Producer,PGKYP107H1,-1541.2314,-1013.912,-2388.753351
Producer,PGKYP109H1,648.2922,1246.401,-2388.896006
Producer,PGKYP110H2,-740.779,690.379,-2389.106098
Producer,PGKYP111H1,-583.2407,1059.204,-2390.939293
Producer,PGKYP128H2,-673.2684,-784.393,-2389.19718
Producer,PGKYP95H1,-1046.2643,330.692,-2389.165203
Producer,PGKYP98H1,-1332.0751,-494.678,-2389.077041
Producer,PGKYP99H4,-632.3642,-1446.487,-2393.273108
Water injector,PGKYP121H1,-632.822,-95.544,-2098.473485
Water injector,PGKYP124H2,-1301.7707,257.947,-2693.706605
Water injector,PGKYP40H2,409.4545,-1031.604,-2590.693974
Water injector,PGKYP42H2,-1750.9297,-732.331,-2562.187867
